RPS27A	0.918057304
TPT1	-0.461969217
B2M	-5.88531321
RPL37A	0.795800542
ACTG1	-0.34795694
RPL31	0.635228691
NPM1	1.245840669
EEF1A1	-0.24347262
CD63	-1.535880912
FTL	-1.339883006
PTMA	2.061532223
RPS29	1.590261148
COX7A2	1.664881693
HSP90AB1	2.116849718
TMSB4X	-0.698164368
C11orf10	0.723863544
C3orf10	0.014558338
RPS21	1.485753555
LDHB	1.688895571
RPL10A	0.453302873
OAZ1	-0.820869967
RPS13	0.700223885
RPL11	0.600912802
MYL6	0.664197786
RPL9	-0.130232833
UQCRH	0.796149094
TBCA	1.236079104
RPS12	0.680416087
RPS6	1.215337493
ANXA2	-2.392200368
VIM	-3.854376203
TIMP2	-4.114071862
RAN	2.047565644
RPL30	0.283503525
ANXA5	-2.428989823
LDHA	-0.943202463
TUBB2B	5.196237525
SERPINE2	-4.140336758
RPS27	0.371163104
C6orf48	-1.630461516
RPL24	1.050674241
CD24	4.707898316
RPL35A	1.134173284
SNHG5	1.31666548
RPS20	1.159917943
RPL41	0.113931596
PRDX6	-0.617608151
RPS4X	0.616471406
RPL6	0.938878345
RPL39	0.113039331
RPL15	-0.11690527
RPS16	0.654588119
CALM2	-0.883304797
ALDH1A1	-9.052586471
DPYSL2	-1.348195904
RPS24	0.817180787
SPARC	-3.108716394
H2AFZ	1.957244183
RPL7	0.343038127
CAV1	-4.35216322
RPL23	0.057826568
RPL27A	0.23873637
PSMB1	1.342500579
THBS1	-7.896329406
HSPA8	1.668207334
RPLP0	0.569238361
RPS2	1.428537777
TUBA1B	1.351741259
RPL14	0.755355785
RPL13A	0.651431644
RPS9	1.100215498
CCT2	1.713416342
TRMT112	1.377901056
FHL1	-3.045863988
RPL36A	0.416978286
LAPTM4A	-0.959337047
CFL1	1.683538376
EEF1B2	0.448715122
SMS	1.652853209
C5orf13	-1.417218714
RPL4	0.503024185
RPL5	0.335152086
ANXA2P3	-2.206009371
ARF4	-1.189940167
RPS8	0.616737297
RPL27	0.470397542
RPLP1	0.309502018
RPS15A	0.518908465
CSTB	0.646741418
ATP5A1	0.833600338
BTF3	0.055514295
ATP5B	1.674772348
GSTP1	2.245941586
RPL12	1.187763086
RPL34	0.049177919
LOC440926	1.584731703
EIF3E	0.23998749
ACTB	1.237256224
PAICS	2.568046067
COX7C	1.178903554
RPS19	0.31582721
PEBP1	1.77730044
COL1A2	-6.944386466
HMGN1	0.872377318
NDUFB8	0.609296565
FTH1	-1.071731407
CKS1B	3.12916568
TPI1	1.466583127
TM9SF3	-0.332379566
YWHAQ	0.836416678
COX6C	0.52786465
RPL7A	0.351520592
PPP1CC	1.075286644
PGAM1	0.845620904
C14orf156	2.39997001
RPL35	1.250617055
TIMP1	-4.02619477
IFITM3	-1.116522431
RPSA	1.187109644
CKS2	1.573469694
HSPD1	2.545063269
